#ID	X	Y	z	mag	mag_err
2.1	1301.0772	1931.4012	1.229	22.59	0.01
2.2	1331.0114	1989.0210	1.229	22.89	0.01
2.3	1667.4392	2336.8515	1.229	22.91	0.02
3.1	1415.5989	1776.9088	1.26	24.56	0.04
3.2	1438.1280	1851.1114	1.26	23.78	0.02
3.3	1922.1410	2309.7128	1.26	24.62	0.04
4.1	1396.7164	1481.1374	1.398	-99	-99	
4.2	1607.8966	1991.8179	1.398	22.65	0.04
4.3	1948.6257	2197.8346	1.398	23.81	0.03
6.1	1582.2774	1289.5394	1.428	22.59	0.01
6.2	2080.5343	1701.5947	1.428	22.19	0.02
6.3	2145.5394	1935.8652	1.428	22.51	0.01
7.1	1914.2078	1375.9284	1.035	23.68	0.04
7.2	2092.6899	1515.4875	1.035	-99	-99
7.3	2236.0085	1829.5002	1.035	24.05	0.04
8.1	1844.1343	1260.7303	1.837	23.73	0.01
8.2	2143.5118	1448.4039	1.837	24.55	0.04
8.3	2336.0587	1994.5310	1.837	24.71	0.04
11.1	2112.0721	1231.9148	3.116	25.85	0.08
11.2	2187.0824	1288.9526	3.116	25.54	0.06
11.3	2486.4024	1868.2252	3.116	27.26	0.2
12.1	1487.0281	1428.5472	6.111	25.74	0.08
12.2	1874.7365	1586.3928	6.111	25.47	0.24
12.3	1559.7035	1840.0609	6.111	25.11	0.07
12.4	2260.6042	2406.0505	6.111	27.85	0.6
12.5	1755.4728	1752.5613	6.111	-99	-99
18.1	1857.2938	1323.8686	4.113	26.88	0.26
18.2	1948.9143	1360.4346	4.113	27.37	0.23
20.1	1622.4075	1360.9725	3.118	25.4	0.07
20.2	1961.5880	1517.1571	3.118	25.94	0.07
20.3	2285.7596	2280.3391	3.118	26.13	0.13
