#delense	relense	M_0	M_relensed	Mag_0	Mag_obs	mag_obs_err_low	mag_obs_err_up	Flux_pre	mag_pre	mag_pre_err_low	mag_pre_err_up	flux_0	flux_err_0	flux_obs	flux_obs_err
      1.1000000      1.2000000     20.6682034      4.7568355     23.4950008     24.1177006     -0.0161533      0.0164223      2.2270923     25.0899582     -0.0135841      0.0137520      9.6766005      0.1218000      5.4530001      0.0818000
      1.1000000      1.3000000     20.6682034      3.9618106     23.4950008     22.8910999     -0.0150871      0.0153065      1.8548713     25.2885170     -0.0135803      0.0137558      9.6766005      0.1218000     16.8764000      0.2362000
      1.2000000      1.1000000      4.7568355     20.6682034     24.1177006     23.4950008     -0.0135860      0.0137482     23.6930027     22.5227528     -0.0161686      0.0164089      5.4530001      0.0818000      9.6766005      0.1218000
      1.2000000      1.3000000      4.7568355      3.9618106     24.1177006     22.8910999     -0.0150871      0.0153065      4.5416231     24.3162746     -0.0161667      0.0164108      5.4530001      0.0818000     16.8764000      0.2362000
      1.3000000      1.1000000      3.9618106     20.6682034     22.8910999     23.4950008     -0.0135860      0.0137482     88.0417786     21.0975819     -0.0150928      0.0153008     16.8764000      0.2362000      9.6766005      0.1218000
      1.3000000      1.2000000      3.9618106      4.7568355     22.8910999     24.1177006     -0.0161533      0.0164223     20.2630234     22.6925430     -0.0150909      0.0153027     16.8764000      0.2362000      5.4530001      0.0818000
      2.0999999      2.2000000     29.5321980      8.6090708     22.7096996     22.8411999     -0.0101223      0.0101910      5.8145523     24.0480118     -0.0114250      0.0115471     19.9459991      0.2110000     17.6704006      0.1653000
      2.0999999      2.3000000     29.5321980      1.0593773     22.7096996    -99.0000000           -NaN            Inf      0.7155017     26.3227749     -0.0114250      0.0115471     19.9459991      0.2110000    -99.0000000    -99.0000000
      2.2000000      2.0999999      8.6090708     29.5321980     22.8411999     22.7096996     -0.0114613      0.0115108     60.6158066     21.5028381     -0.0101089      0.0102043     17.6704006      0.1653000     19.9459991      0.2110000
      2.2000000      2.3000000      8.6090708      1.0593773     22.8411999    -99.0000000           -NaN            Inf      2.1744068     25.1159496     -0.0101089      0.0102043     17.6704006      0.1653000    -99.0000000    -99.0000000
      2.3000000      2.0999999      1.0593773     29.5321980    -99.0000000     22.7096996     -0.0114613      0.0115108  -2759.8171387           -NaN           -NaN           -NaN    -99.0000000    -99.0000000     19.9459991      0.2110000
      2.3000000      2.2000000      1.0593773      8.6090708    -99.0000000     22.8411999     -0.0101223      0.0101910   -804.5272827           -NaN           -NaN           -NaN    -99.0000000    -99.0000000     17.6704006      0.1653000
      3.0999999      3.2000000    304.0545349     47.0557251     23.9002991     23.0750008     -0.0141640      0.0143700      1.0310166     25.9261398     -0.0231724      0.0236740      6.6620002      0.1437000     14.2468004      0.1872000
      3.0999999      3.3000000    304.0545349      2.0624061     23.9002991     24.6623993     -0.0340919      0.0351143      0.0451884     29.3217354     -0.0231724      0.0236740      6.6620002      0.1437000      3.3020000      0.1052000
      3.2000000      3.0999999     47.0557251    304.0545349     23.0750008     23.9002991     -0.0231781      0.0236683     92.0569000     21.0491600     -0.0141716      0.0143623     14.2468004      0.1872000      6.6620002      0.1437000
      3.2000000      3.3000000     47.0557251      2.0624061     23.0750008     24.6623993     -0.0340919      0.0351143      0.6244233     26.4706039     -0.0141716      0.0143623     14.2468004      0.1872000      3.3020000      0.1052000
      3.3000000      3.0999999      2.0624061    304.0545349     24.6623993     23.9002991     -0.0231781      0.0236683    486.8042603     19.2409172     -0.0340519      0.0351524      3.3020000      0.1052000      6.6620002      0.1437000
      3.3000000      3.2000000      2.0624061     47.0557251     24.6623993     23.0750008     -0.0141640      0.0143700     75.3382263     21.2667637     -0.0340519      0.0351543      3.3020000      0.1052000     14.2468004      0.1872000
      4.0999999      4.1999998      2.6611655      2.2461731     24.5140991     24.5396996     -0.0243855      0.0248432      3.1949215     24.6981525     -0.0413685      0.0430050      3.7852001      0.1470000      3.6970999      0.0838000
      4.0999999      4.3000002      2.6611655      3.3274570     24.5140991     24.5702991     -0.0210934      0.0215683      4.7329230     24.2714787     -0.0413647      0.0430050      3.7852001      0.1470000      3.5941000      0.0706000
      4.1999998      4.0999999      2.2461731      2.6611655     24.5396996     24.5140991     -0.0413857      0.0429859      4.3801589     24.3555794     -0.0243359      0.0248928      3.6970999      0.0838000      3.7852001      0.1470000
      4.1999998      4.3000002      2.2461731      3.3274570     24.5396996     24.5702991     -0.0210934      0.0215683      5.4768443     24.1129761     -0.0243340      0.0248928      3.6970999      0.0838000      3.5941000      0.0706000
      4.3000002      4.0999999      3.3274570      2.6611655     24.5702991     24.5140991     -0.0413857      0.0429859      2.8744159     24.8129292     -0.0211201      0.0215397      3.5941000      0.0706000      3.7852001      0.1470000
      4.3000002      4.1999998      3.3274570      2.2461731     24.5702991     24.5396996     -0.0243855      0.0248432      2.4261684     24.9970016     -0.0211220      0.0215378      3.5941000      0.0706000      3.6970999      0.0838000
      5.0999999      5.1999998      2.7303193      2.0896990     23.7080002     24.2350998     -0.0232239      0.0237255      6.0869718     23.9982986     -0.0363655      0.0376282      7.9530001      0.2709000      4.8941998      0.1058000
      5.0999999      5.3000002      2.7303193      3.3367951     23.7080002     24.0006008     -0.0210876      0.0214615      9.7195711     23.4901848     -0.0363674      0.0376282      7.9530001      0.2709000      6.0742002      0.1190000
      5.1999998      5.0999999      2.0896990      2.7303193     24.2350998     23.7080002     -0.0363922      0.0376034      6.3945708     23.9447746     -0.0232201      0.0237293      4.8941998      0.1058000      7.9530001      0.2709000
      5.1999998      5.3000002      2.0896990      3.3367951     24.2350998     24.0006008     -0.0210876      0.0214615      7.8149729     23.7269821     -0.0232182      0.0237312      4.8941998      0.1058000      6.0742002      0.1190000
      5.3000002      5.0999999      3.3367951      2.7303193     24.0006008     23.7080002     -0.0363922      0.0376034      4.9701900     24.2183704     -0.0210667      0.0214825      6.0742002      0.1190000      7.9530001      0.2709000
      5.3000002      5.1999998      3.3367951      2.0896990     24.0006008     24.2350998     -0.0232239      0.0237255      3.8040245     24.5086937     -0.0210648      0.0214844      6.0742002      0.1190000      4.8941998      0.1058000
      6.0999999      6.1999998      3.0358288     10.7753592     22.7157001     22.1560001     -0.0149250      0.0151711     70.4065323     21.3402710     -0.0129662      0.0131226     19.8362007      0.2383000     33.2134018      0.4603000
      6.0999999      6.3000002      3.0358288      6.4466653     22.7157001     22.1315002     -0.0121651      0.0123634     42.1227150     21.8980122     -0.0129642      0.0131226     19.8362007      0.2383000     33.9710007      0.3837000
      6.1999998      6.0999999     10.7753592      3.0358288     22.1560001     22.7157001     -0.0130081      0.0130787      9.3574800     23.5314064     -0.0149441      0.0151520     33.2134018      0.4603000     19.8362007      0.2383000
      6.1999998      6.3000002     10.7753592      6.4466653     22.1560001     22.1315002     -0.0121651      0.0123634     19.8708630     22.7137604     -0.0149422      0.0151520     33.2134018      0.4603000     33.9710007      0.3837000
      6.3000002      6.0999999      6.4466653      3.0358288     22.1315002     22.7157001     -0.0130081      0.0130787     15.9974403     22.9491768     -0.0121956      0.0123329     33.9710007      0.3837000     19.8362007      0.2383000
      6.3000002      6.1999998      6.4466653     10.7753592     22.1315002     22.1560001     -0.0149250      0.0151711     56.7812538     21.5737896     -0.0121937      0.0123329     33.9710007      0.3837000     33.2134018      0.4603000
      7.0999999      7.1999998      4.8259935      1.0537670     23.6089001    -99.0000000           -NaN            Inf      1.9025258     25.2609749     -0.0265026      0.0271664      8.7131004      0.2153000    -99.0000000    -99.0000000
      7.0999999      7.3000002      4.8259935      4.5986109     23.6089001     24.1175995     -0.0327740      0.0336990      8.3025723     23.6612701     -0.0265026      0.0271645      8.7131004      0.2153000      5.4538002      0.1669000
      7.1999998      7.0999999      1.0537670      4.8259935    -99.0000000     23.6089001     -0.0265331      0.0271358   -453.3956299           -NaN           -NaN           -NaN    -99.0000000    -99.0000000      8.7131004      0.2153000
      7.1999998      7.3000002      1.0537670      4.5986109    -99.0000000     24.1175995     -0.0327740      0.0336990   -432.0333557           -NaN           -NaN           -NaN    -99.0000000    -99.0000000      5.4538002      0.1669000
      7.3000002      7.0999999      4.5986109      4.8259935     24.1175995     23.6089001     -0.0265331      0.0271358      5.7234688     24.0651531     -0.0327282      0.0337467      5.4538002      0.1669000      8.7131004      0.2153000
      7.3000002      7.1999998      4.5986109      1.0537670     24.1175995    -99.0000000           -NaN            Inf      1.2497327     25.7172604     -0.0327301      0.0337429      5.4538002      0.1669000    -99.0000000    -99.0000000
      8.1000004      8.1999998      6.3399391      3.9763570     24.6284008     24.4776993     -0.0375443      0.0388222      2.1367166     25.1349354     -0.0133991      0.0135670      3.4068000      0.0423000      3.9143000      0.1376000
      8.1000004      8.3000002      6.3399391      2.5538714     24.6284008     24.7332001     -0.0414448      0.0431156      1.3723364     25.6156521     -0.0133991      0.0135651      3.4068000      0.0423000      3.0934000      0.1204000
      8.1999998      8.1000004      3.9763570      6.3399391     24.4776993     24.6284008     -0.0133629      0.0135994      6.2409949     23.9711685     -0.0375118      0.0388527      3.9143000      0.1376000      3.4068000      0.0423000
      8.1999998      8.3000002      3.9763570      2.5538714     24.4776993     24.7332001     -0.0414448      0.0431156      2.5140145     24.9583836     -0.0375118      0.0388527      3.9143000      0.1376000      3.0934000      0.1204000
      8.3000002      8.1000004      2.5538714      6.3399391     24.7332001     24.6284008     -0.0133629      0.0135994      7.6793089     23.7459965     -0.0414562      0.0431042      3.0934000      0.1204000      3.4068000      0.0423000
      8.3000002      8.1999998      2.5538714      3.9763570     24.7332001     24.4776993     -0.0375443      0.0388222      4.8163986     24.2524948     -0.0414543      0.0431042      3.0934000      0.1204000      3.9143000      0.1376000
      9.1000004      9.1999998      6.1646481      4.0187654     24.9524994     24.9314003     -0.0498638      0.0522423      1.6478206     25.4170265     -0.0476475      0.0498371      2.5276999      0.1134000      2.5773001      0.1211000
      9.1000004      9.3000002      6.1646481      1.9978266     24.9524994     25.9242992     -0.0812340      0.0877285      0.8191718     26.1758652     -0.0476494      0.0498352      2.5276999      0.1134000      1.0328000      0.0802000
      9.1999998      9.1000004      4.0187654      6.1646481     24.9314003     24.9524994     -0.0476589      0.0498257      3.9534895     24.4668503     -0.0498524      0.0522537      2.5773001      0.1211000      2.5276999      0.1134000
      9.1999998      9.3000002      4.0187654      1.9978266     24.9314003     25.9242992     -0.0812340      0.0877285      1.2812389     25.6902275     -0.0498543      0.0522537      2.5773001      0.1211000      1.0328000      0.0802000
      9.3000002      9.1000004      1.9978266      6.1646481     25.9242992     24.9524994     -0.0476589      0.0498257      3.1868875     24.7008858     -0.0811958      0.0877628      1.0328000      0.0802000      2.5276999      0.1134000
      9.3000002      9.1999998      1.9978266      4.0187654     25.9242992     24.9314003     -0.0498638      0.0522423      2.0775483     25.1654243     -0.0811958      0.0877647      1.0328000      0.0802000      2.5773001      0.1211000
     10.1000004     10.1999998      5.9988084      3.8026345     25.8439999     26.6333008     -0.0797558      0.0862026      0.7048949     26.3389931     -0.0789776      0.0851707      1.1120000      0.0839000      0.5375000      0.0410000
     10.1000004     10.3000002      5.9988084      1.0785602     25.8439999    -99.0000000           -NaN            Inf      0.1999329     27.7070923     -0.0789757      0.0851727      1.1120000      0.0839000    -99.0000000    -99.0000000
     10.1999998     10.1000004      3.8026345      5.9988084     26.6333008     25.8439999     -0.0789337      0.0852146      0.8479279     26.1384048     -0.0798111      0.0861492      0.5375000      0.0410000      1.1120000      0.0839000
     10.1999998     10.3000002      3.8026345      1.0785602     26.6333008    -99.0000000           -NaN            Inf      0.1524538     28.0014572     -0.0798111      0.0861473      0.5375000      0.0410000    -99.0000000    -99.0000000
     10.3000002     10.1000004      1.0785602      5.9988084    -99.0000000     25.8439999     -0.0789337      0.0852146   -550.6248169           -NaN           -NaN           -NaN    -99.0000000    -99.0000000      1.1120000      0.0839000
     10.3000002     10.1999998      1.0785602      3.8026345    -99.0000000     26.6333008     -0.0797558      0.0862026   -349.0401306           -NaN           -NaN           -NaN    -99.0000000    -99.0000000      0.5375000      0.0410000
     11.1000004     11.1999998     19.8358498      7.5759449     25.9806995     25.6243992     -0.0469646      0.0489597      0.3744843     27.0257187     -0.0620842      0.0658493      0.9805000      0.0577000      1.3614000      0.0601000
     11.1000004     11.3000002     19.8358498      2.5496082     25.9806995     27.6186008     -0.1619377      0.1905231      0.1260289     28.2081261     -0.0620842      0.0658531      0.9805000      0.0577000      0.2169000      0.0349000
     11.1999998     11.1000004      7.5759449     19.8358498     25.6243992     25.9806995     -0.0620995      0.0658340      3.5645094     24.5793037     -0.0469017      0.0490208      1.3614000      0.0601000      0.9805000      0.0577000
     11.1999998     11.3000002      7.5759449      2.5496082     25.6243992     27.6186008     -0.1619377      0.1905231      0.4581655     26.8067455     -0.0469017      0.0490208      1.3614000      0.0601000      0.2169000      0.0349000
     11.3000002     11.1000004      2.5496082     19.8358498     27.6186008     25.9806995     -0.0620995      0.0658340      1.6874733     25.3912125     -0.1619911      0.1904697      0.2169000      0.0349000      0.9805000      0.0577000
     11.3000002     11.1999998      2.5496082      7.5759449     27.6186008     25.6243992     -0.0469646      0.0489597      0.6445000     26.4362450     -0.1619911      0.1904716      0.2169000      0.0349000      1.3614000      0.0601000
     12.1000004     12.1999998      3.7199140      4.4325423     25.1893005     25.9964008     -0.1079178      0.1196079      2.4217494     24.9989796     -0.0597591      0.0632401      2.0323999      0.1150000      0.9665000      0.1009000
     12.1000004     12.3000002      3.7199140      4.7388210     25.1893005     25.9640007     -0.0748043      0.0802994      2.5890865     24.9264355     -0.0597591      0.0632420      2.0323999      0.1150000      0.9957000      0.0710000
     12.1000004     12.3999996      3.7199140      1.4097195     25.1893005     27.4365005     -0.2013912      0.2476635      0.7702097     26.2427807     -0.0597591      0.0632401      2.0323999      0.1150000      0.2565000      0.0523000
     12.1999998     12.1000004      4.4325423      3.7199140     25.9964008     25.1893005     -0.0597801      0.0632210      0.8111140     26.1865978     -0.1078129      0.1197109      0.9665000      0.1009000      2.0323999      0.1150000
     12.1999998     12.3000002      4.4325423      4.7388210     25.9964008     25.9640007     -0.0748043      0.0802994      1.0332830     25.9237556     -0.1078129      0.1197090      0.9665000      0.1009000      0.9957000      0.0710000
     12.1999998     12.3999996      4.4325423      1.4097195     25.9964008     27.4365005     -0.2013912      0.2476635      0.3073843     27.2400970     -0.1078129      0.1197128      0.9665000      0.1009000      0.2565000      0.0523000
     12.3000002     12.1000004      4.7388210      3.7199140     25.9640007     25.1893005     -0.0597801      0.0632210      0.7816117     26.2268257     -0.0747852      0.0803185      0.9957000      0.0710000      2.0323999      0.1150000
     12.3000002     12.1999998      4.7388210      4.4325423     25.9640007     25.9964008     -0.1079178      0.1196079      0.9313461     26.0365257     -0.0747852      0.0803185      0.9957000      0.0710000      0.9665000      0.1009000
     12.3000002     12.3999996      4.7388210      1.4097195     25.9640007     27.4365005     -0.2013912      0.2476635      0.2962040     27.2803268     -0.0747852      0.0803185      0.9957000      0.0710000      0.2565000      0.0523000
     12.3999996     12.1000004      1.4097195      3.7199140     27.4365005     25.1893005     -0.0597801      0.0632210      0.6768424     26.3830833     -0.2014732      0.2475815      0.2565000      0.0523000      2.0323999      0.1150000
     12.3999996     12.1999998      1.4097195      4.4325423     27.4365005     25.9964008     -0.1079178      0.1196079      0.8065059     26.1927834     -0.2014751      0.2475796      0.2565000      0.0523000      0.9665000      0.1009000
     12.3999996     12.3000002      1.4097195      4.7388210     27.4365005     25.9640007     -0.0748043      0.0802994      0.8622337     26.1202412     -0.2014751      0.2475777      0.2565000      0.0523000      0.9957000      0.0710000
     13.1000004     13.1999998     20.1447697      8.8995638     26.4270000     27.0447998     -0.1799698      0.2162838      0.2871572     27.3140030     -0.1066666      0.1182976      0.6500000      0.0671000      0.3679000      0.0664000
     13.1999998     13.1000004      8.8995638     20.1447697     27.0447998     26.4270000     -0.1066475      0.1183167      0.8327668     26.1579933     -0.1801491      0.2161064      0.3679000      0.0664000      0.6500000      0.0671000
     14.1000004     14.1999998      5.9309421     24.0252972     26.9888000     22.2546005     -0.0089417      0.0090714      1.5692954     25.4700394     -0.1384773      0.1587601      0.3874000      0.0527000     30.3297997      0.2516000
     14.1000004     14.3000002      5.9309421      4.7024045     26.9888000     26.3775997     -0.0962067      0.1054611      0.3071538     27.2409134     -0.1384811      0.1587601      0.3874000      0.0527000      0.6803000      0.0630000
     14.1999998     14.1000004     24.0252972      5.9309421     22.2546005     26.9888000     -0.1383762      0.1588631      7.4872866     23.7734909     -0.0089684      0.0090446     30.3297997      0.2516000      0.3874000      0.0527000
     14.1999998     14.3000002     24.0252972      4.7024045     22.2546005     26.3775997     -0.0962067      0.1054611      5.9363670     24.0254993     -0.0089684      0.0090466     30.3297997      0.2516000      0.6803000      0.0630000
     14.3000002     14.1000004      4.7024045      5.9309421     26.3775997     26.9888000     -0.1383762      0.1588631      0.8580334     26.1255436     -0.0961590      0.1055088      0.6803000      0.0630000      0.3874000      0.0527000
     14.3000002     14.1999998      4.7024045     24.0252972     26.3775997     22.2546005     -0.0089417      0.0090714      3.4757557     24.6066780     -0.0961590      0.1055126      0.6803000      0.0630000     30.3297997      0.2516000
