42
ID	X_min	X_max	Y_min	Y_max	Noise
1.1	1995	2002	2604	2620	0.02
1.2	2044	2060	2708	2725	0.02
1.3	2366	2373	3035	3041	0.02
2.1	2003	2018	2630	2650	0.02
2.2	2033	2046	2692	2705	0.02
2.3	2373	2380	3042	3049	0.02
3.1	2124	2131	2502	2517	0.02
3.2	2128	2137	2518	2532	0.02
3.3	2629	2642	3014	3021	0.02
4.1	2102	2109	2186	2193	0.02
4.2	2313	2320	2695	2704	0.02
4.3	2651	2660	2904	2909	0.02
5.1	2109	2120	2181	2190	0.01
5.2	2317	2322	2685	2696	0.01
5.3	2663	2674	2902	2907	0.01
6.1	2286	2297	1991	2002	0.02
6.2	2786	2791	2406	2411	0.02
6.3	2850	2859	2638	2651	0.02
7.1	2619	2628	2081	2088	0.01
7.2	2798	2805	2218	2231	0.01
7.3	2940	2947	2534	2541	0.01
8.1	2547	2556	1966	1973	0.02
8.2	2848	2855	2154	2161	0.02
8.3	3041	3046	2701	2708	0.02
9.1	2608	2617	1947	1954	0.01
9.2	2827	2836	2072	2079	0.01
9.3	3106	3108	2754	2760	0.005
10.1	2591	2598	1945	1950	0.01
10.2	2833	2842	2082	2089	0.01
10.3	3100	3105	2757	2763	0.005
11.1	2819	2823	1938	1942	0.01
11.2	2892	2898	1994	2000	0.01
11.3	3193	3197	2574	2578	0.005
12.1	2263	2272	2545	2554	0.025	
12.2	2581	2586	2292	2298	0.018
12.3	2190	2198	2135	2139	0.015
12.4	2965	2972	3113	3117	0.005
13.1	2080	2087	2537	2647	0.015
13.2	2096	2103	2579	2589	0.015
14.1	2584	2600	2060	2070	0.005
14.2	2774	2792	2205	2214	0.02
14.3	2926	2936	2503	2519	0.005
