# ID_src       mag_src       err_src         M_src    ID_obs       mag_obs       err_obs         M_obs       mag_pre
     4.1       24.5141        0.0414      2.697846       4.2       24.5397        0.0243      2.300415     24.687127
     4.1       24.5141        0.0414      2.697846       4.3       24.5703        0.0211      3.422089     24.255915
     4.2       24.5397        0.0243      2.300415       4.3       24.5703        0.0211      3.422089     24.108488
     5.1       23.7080        0.0364      2.747901       5.2       24.2351        0.0232      2.136998     23.980993
     5.1       23.7080        0.0364      2.747901       5.3       24.0006        0.0211      3.401958     23.476180
     5.2       24.2351        0.0232      2.136998       5.3       24.0006        0.0211      3.401958     23.730288
     6.1       22.7157        0.0130      3.072674       6.2       22.1560        0.0149     10.811954     21.349731
     6.1       22.7157        0.0130      3.072674       6.3       22.1315        0.0122      6.689735     21.870969
     6.2       22.1560        0.0149     10.811954       6.3       22.1315        0.0122      6.689735     22.677238
     7.1       23.6089        0.0265      4.779237       7.3       24.1176        0.0327      4.640434     23.640900
     8.1       24.6284        0.0134      6.324962       8.2       24.4777        0.0375      3.996220     25.126921
     8.1       24.6284        0.0134      6.324962       8.3       24.7332        0.0414      2.565393     25.608160
     8.2       24.4777        0.0375      3.996220       8.3       24.7332        0.0414      2.565393     24.958939
     9.1       24.9525        0.0477      6.094240       9.3       25.9243        0.0812      2.002101     26.161084
     9.1       24.9525        0.0477      6.094240       9.2       24.9314        0.0499      4.027523     25.402204
     9.2       24.9314        0.0499      4.027523       9.3       25.9243        0.0812      2.002101     25.690280
    10.1       25.8440        0.0789      5.935215      10.2       26.6333        0.0798      3.808313     26.325760
    11.1       25.9807        0.0621     18.583933      11.2       25.6244        0.0469      7.678435     26.940362
    11.1       25.9807        0.0621     18.583933      11.3       27.6186        0.1621      2.578096     28.125297
    11.2       25.6244        0.0469      7.678435      11.3       27.6186        0.1621      2.578096     26.809334
    12.1       25.1893        0.0597      3.498045      12.4       27.4365        0.2014      1.401507     26.182375
    12.2       25.9964        0.1078      4.612965      12.3       25.9640        0.0748      4.826161     25.947346
    13.1       26.4270        0.1067     19.198749      13.2       27.0448        0.1800      8.959394     27.254486
    20.1       25.4876        0.0533      5.980663      20.3       27.0422        0.1290      1.553106     26.951471
    20.1       25.4876        0.0533      5.980663      20.2       26.0475        0.0501      3.280996     26.139459
    20.2       26.0475        0.0501      3.280996      20.3       27.0422        0.1290      1.553106     26.859512
