# x1	x2	y1	y2	redshift	objectID
870	928	1386	1466	2.2	1.1
1136	1184	526	586	2.2	1.2
872	1001	999	1022	2.2	1.3
214	262	1087	1144	4.7	2.1
227	254	1005	1076	4.7	2.2
363	382	505	528	4.7	2.3
739	751	731	741	3.1	3.1
775	787	689	701	3.1	3.2
1600	1618	1043	1074	1.9	4.1
1582	1611	851	891	1.9	4.2
1397	1427	1489	1519	1.9	4.3
1736	1756	1175	1195	6.5	5.1
1728	1748	701	721	6.5	5.2
590	610	720	740	11	6.1
797	808	525	537	11	6.2
611	631	1676	1696	11	6.3
945	1005	1377	1437	2.2	7.1
1214	1231	530	543	2.2	7.2
1136	1206	1089	1159	2.2	7.3
1131	1201	1308	1378	2.3	8.1
1219	1289	1280	1350	2.3	8.2
1500	1560	1077	1137	5.9	9.1
1418	1458	516	556	5.9	9.2
1099	1139	1662	1702	5.9	9.3
