source,objID,xmin,x_centroid,xmax,ymin,y_centroid,ymax,redshift,Area,ADU,Sigma,delens_start,delens_stop
1,1.1,870,900,928,1386,1423,1466,2.2,1774,29.3226,0.00488142,1,3
1,1.2,1136,1160,1184,526,547,586,2.2,1607,30.7356,0.00494071,1,3
1,1.3,872,889,901,999,1007,1022,2.2,947,13.8437,0.00496406,1,3
2,2.1,214,241,262,1087,1113,1144,4.7,529,6.82799,0.00503246,3,6
2,2.2,227,240,254,1005,1031,1076,4.7,514,7.52682,0.0050529,3,6
2,2.3,363,374,382,505,514,528,4.7,230,2.98697,0.00509898,3,6
3,3.1,739,746,751,731,736,741,3.1,122,0.85418,0.00502566,2,4
3,3.2,775,780,787,689,694,701,3.1,227,1.68711,0.00502098,2,4
4,4.1,1600,1611,1618,1043,1067,1074,1.9,159,2.156,0.00481722,1,3
4,4.2,1582,1597,1611,851,864,891,1.9,520,8.80144,0.0048186,1,3
4,4.3,1397,1407,1427,1489,1499,1519,1.9,148,2.58869,0.00480533,1,3
5,5.1,1736,1745,1756,1175,1187,1195,6.5,57,0.458212,0.00485934,5,8
5,5.2,1728,1736,1748,701,708,721,6.5,35,0.162984,0.00478751,5,8
6,6.1,590,598,610,720,728,740,11,70,0.591616,0.00505569,8,13
6,6.2,797,803,808,525,530,537,11,43,0.434753,0.00524056,8,13
6,6.3,611,621,631,1676,1687,1696,11,12,0.0723096,0.00493436,8,13
7,7.1,945,975,1005,1377,1408,1437,2.2,272,4.5072,0.00487724,1,3
7,7.2,1214,1223,1231,530,536,543,2.2,250,2.34779,0.0048768,1,3
7,7.3,1136,1148,1206,1089,1099,1159,2.2,221,2.284569444,0.00489597,1,3
8,8.1,1131,1154,1201,1308,1345,1378,2.3,676,8.96649,0.00489478,1,3
8,8.2,1219,1253,1289,1280,1294,1350,2.3,791,17.6689,0.00484996,1,3
9,9.1,1500,1530,1560,1077,1108,1137,5.9,203,2.54068,0.00479271,4,7
9,9.2,1418,1438,1458,516,536,556,5.9,147,1.26548,0.00484121,4,7
9,9.3,1099,1119,1139,1662,1682,1702,5.9,109,0.611643,0.00480649,4,7
